geliefert;Partner-Nr.;Anzahl;Post-Anrede;Post-Name1;Post-Name2;Post-Straße;Post-PLZ;Post-Ort;Floh;Teile;Gesamtgewicht;Aufkl. 1;Aufkl. 2;Aufkl. 3;Gew. Paket 1;Gew. Paket 2;Gew. Paket 3;;Urlaub bis;Urlaub2 bis;PaketFloh;
5287;23295100;900;Blumenhaus;Lewerenz,;Fritz, Blumenhaus;Lange Str. 42;18311;Ribnitz-Damgarten;0494;1;21;Pak 1/1;;;21;;;991230;;;0494-Pak 1/1-991230;
4375;09417400;900;Blumenhaus;aaa actuel andershofer atelier;dr. koller + co. oHG Blumenhandelsgesellschaft;Greifswalder Chaussee 61;18439;Stralsund;0495;1;21;Pak 1/1;;;21;;;991230;;;0495-Pak 1/1-991230;
1098;01926700;900;Blumenhaus;Trittmacher,;Marc, Blumenbinder Trittmacher;Colonnaden 72;20354;Hamburg;0496;1;21;Pak 1/1;;;21;;;991230;;;0496-Pak 1/1-991230;
1926;03472900;900;Blumenhaus;Timmann,;Walter;Friedrich-Frank-Bogen 47;21033;Hamburg;0497;1;21;Pak 1/1;;;21;;;991230;;;0497-Pak 1/1-991230;
2534;04668700;900;Blumenhaus;Reinhardt,;Frank;Niedersachsenstr. 6;21244;Buchholz-Sprötze;0498;1;21;Pak 1/1;;;21;;;110911;11.09.2011;;0498-Pak 1/1-110911;
4696;11662900;900;Blumenhaus;Lichtenknecker,;Marina, Blumenhaus Wolf;Ifflandstr. 85;22087;Hamburg;0499;1;21;Pak 1/1;;;21;;;991230;;;0499-Pak 1/1-991230;
1269;02214000;900;Blumenhaus;Krasowka,;Petra, Blumenfreuden;Schweriner Str. 27;22143;Hamburg;0500;1;21;Pak 1/1;;;21;;;991230;;;0500-Pak 1/1-991230;
3219;06425200;900;Blumenhaus;Körner,;Hans-Peter, Blumen-Körner;Breiter Weg 3 - 5;22880;Wedel;0501;1;21;Pak 1/1;;;21;;;991230;;;0501-Pak 1/1-991230;
722;01294100;900;Blumenhaus;Rehders,;Wolfgang;Hamburger Str. 169;22926;Ahrensburg;0502;1;21;Pak 1/1;;;21;;;991230;;;0502-Pak 1/1-991230;
2788;05204000;900;Blumenhaus;Abel,;Birgit, Blumenhaus Abel;Schlutuper Str. 17;23566;Lübeck;0503;1;21;Pak 1/1;;;21;;;991230;;;0503-Pak 1/1-991230;
4866;12283400;900;Blumenhaus;Vergin,;Birgitt, Crantz Floristik;Dorfstr. 13;25826;St Peter-Ording;0504;1;21;Pak 1/1;;;21;;;991230;;;0504-Pak 1/1-991230;
2507;04620800;900;Blumenhaus;Oehmichen,;Klaus;Nagelschmiedestr. 9;27283;Verden;0505;1;21;Pak 1/1;;;21;;;991230;;;0505-Pak 1/1-991230;
2115;03861300;900;Blumenhaus;Barenscheer,;Lore, Blumenstudio;Grosse Gartenstr. 2;27356;Rotenburg;0506;1;21;Pak 1/1;;;21;;;991230;;;0506-Pak 1/1-991230;
1676;02951100;900;Blumenhaus;Nickel,;Ulrich, Blumenkästchen Müller;Düsternstr. 17;27793;Wildeshausen;0507;1;21;Pak 1/1;;;21;;;991230;;;0507-Pak 1/1-991230;
339;00643800;900;Blumenhaus;Gärtnerei Wilhelm Weber;;Osterholzer Heerstr. 29;28307;Bremen;0508;1;21;Pak 1/1;;;21;;;991230;;;0508-Pak 1/1-991230;
3489;07189700;900;Blumenhaus;Pabst,;Uwe, Blumen Pabst;Omptedastr. 28;30165;Hannover;0509;1;21;Pak 1/1;;;21;;;991230;;;0509-Pak 1/1-991230;
252;00479800;900;Blumenhaus;Barczyk,;Helga;Berckhusenstr. 19;30625;Hannover;0510;1;21;Pak 1/1;;;21;;;991230;;;0510-Pak 1/1-991230;
2746;05108200;900;Blumenhaus;Blumen Weber e.K.;Inh. Andreas Weber;Dorfstr. 7;30827;Garbsen;0511;1;21;Pak 1/1;;;21;;;991230;;;0511-Pak 1/1-991230;
720;01290700;900;Blumenhaus;"Blumenhaus ""Flora"",";Inh. Jörg Krauthoff;Thönser Str. 2;30938;Burgwedel;0512;1;21;Pak 1/1;;;21;;;991230;;;0512-Pak 1/1-991230;
1288;02253000;900;Blumenhaus;Asquino;Marcello, Floristik Jeske;Leinstr. 29;31061;Alfeld;0513;1;21;Pak 1/1;;;21;;;991230;;;0513-Pak 1/1-991230;
522;00946000;900;Blumenhaus;Babbel,;Thomas, Floristikstudio Schierding;Schwarzer Weg 19;31224;Peine;0514;1;21;Pak 1/1;;;21;;;991230;;;0514-Pak 1/1-991230;
5006;12751000;900;Blumenhaus;Fischer,;Sabine, Janßen's Grüne Dienste;Amedorfer Str. 20;31535;Neustadt;0515;1;21;Pak 1/1;;;21;;;991230;;;0515-Pak 1/1-991230;
3165;06240800;900;Blumenhaus;Schirrmeister,;Maren, Blumen Grenz;Rodenberger Allee 1;31542;Bad Nenndorf;0516;1;21;Pak 1/1;;;21;;;991230;;;0516-Pak 1/1-991230;
3370;06844300;900;Blumenhaus;Roy,;Brigitte;Krebshägerstr. 8 a;31655;Stadthagen;0517;1;21;Pak 1/1;;;21;;;991230;;;0517-Pak 1/1-991230;
3507;07228200;900;Blumenhaus;Cekic GbR,;Blumen Spilker;Lockhauser Str. 6 a;32107;Bad Salzuflen;0518;1;21;Pak 1/1;;;21;;;991230;;;0518-Pak 1/1-991230;
3243;06491700;900;Blumenhaus;Schöttker,;Hans-Jörg;Ravensberger Str. 67;32457;Porta Westfalica;0519;1;21;Pak 1/1;;;21;;;991230;;;0519-Pak 1/1-991230;
4680;11604700;900;Blumenhaus;Winter,;Matthias;Salzufler Str. 66;32657;Lemgo-Kirchheide;0520;1;21;Pak 1/1;;;21;;;991230;;;0520-Pak 1/1-991230;
4442;10020200;900;Blumenhaus;Möller,;Hermann, Blumen Möller;Bielefelder Str. 409;32758;Detmold;0521;1;21;Pak 1/1;;;21;;;991230;;;0521-Pak 1/1-991230;
2606;04822400;900;Blumenhaus;Lüke,;Lydia, Blumen-Studio;Bokelfenner Str. 9;33758;Schloß Holte-Stukenbrock;0522;1;21;Pak 1/1;;;21;;;991230;;;0522-Pak 1/1-991230;
1082;01897500;900;Blumenhaus;Voßhage,;Matthias, Blumen Voßhage;Westwall 18;34497;Korbach;0523;1;21;Pak 1/1;;;21;;;991230;;;0523-Pak 1/1-991230;
5027;12818200;900;Blumenhaus;Mander,;Gianni;Sonnenstr. 2;38100;Braunschweig;0524;1;21;Pak 1/1;;;21;;;991230;;;0524-Pak 1/1-991230;
427;00784900;900;Blumenhaus;Möller,;Michael, Blumen Möller;Madamenweg 145;38118;Braunschweig;0525;1;21;Pak 1/1;;;21;;;991230;;;0525-Pak 1/1-991230;
2126;03886300;900;Blumenhaus;Gärtnerei Starke,;Nachf. Jens Neubert;Reichenberger Str. 57;38229;Salzgitter;0526;1;21;Pak 1/1;;;21;;;991230;;;0526-Pak 1/1-991230;
4012;08666900;900;Blumenhaus;ABC Blumen-Bienert;;Hoffnung-Privatweg 36;39118;Magdeburg;0527;1;21;Pak 1/1;;;21;;;991230;;;0527-Pak 1/1-991230;
4087;08853700;900;Blumenhaus;Kunkel,;Heinz, Kunkel's Blumendiele;Breite Str. 36;39326;Samswegen;0528;1;21;Pak 1/1;;;21;;;991230;;;0528-Pak 1/1-991230;
4039;08748700;900;Blumenhaus;Blumen-Metz Stassfurt;Inh. Matthias Metz e.K.;Wassertorstr. 4;39418;Staßfurt;0529;1;21;Pak 1/1;;;21;;;991230;;;0529-Pak 1/1-991230;
527;00960600;900;Blumenhaus;Blumen Bracht,;Inh. Monika Löbbert;Münsterstr. 477;40470;Düsseldorf;0530;1;21;Pak 1/1;;;21;;;991230;;;0530-Pak 1/1-991230;
3282;06610700;900;Blumenhaus;Grützner,;Markus, Blumenkunst Grützner;Urdenbacher Allee 105;40593;Düsseldorf;0531;1;21;Pak 1/1;;;21;;;991230;;;0531-Pak 1/1-991230;
2192;03997900;900;Blumenhaus;Hermanns,;Bianca, Blumen Antons;Nordstr. 46;41352;Korschenbroich;0532;1;21;Pak 1/1;;;21;;;110814;14.08.2011;;0532-Pak 1/1-110814;
3040;05888700;900;Blumenhaus;Bahlmann,;Dorothee, Blumen Nowak;Kölner Str. 19;41539;Dormagen;0533;1;21;Pak 1/1;;;21;;;991230;;;0533-Pak 1/1-991230;
2516;04640300;900;Blumenhaus;Blumen Felsner OHG;blumiges in unterbarmen;Oberbergische Str. 29;42285;Wuppertal;0534;1;21;Pak 1/1;;;21;;;110815;15.08.2011;;0534-Pak 1/1-110815;
1396;02428100;900;Blumenhaus;Blumen Kaimer GmbH;;Kasinostr. 36;42651;Solingen;0535;1;21;Pak 1/1;;;21;;;991230;;;0535-Pak 1/1-991230;
2675;04971800;900;Blumenhaus;Blumen Uellendahl;Inh. Heidi Jörges e.K.;Richthofenstr. 18;42899;Remscheid;0536;1;21;Pak 1/1;;;21;;;991230;;;0536-Pak 1/1-991230;
591;01073000;900;Blumenhaus;Blumen Bernhard Rupieper;;Schwarze Str. 78-80;45326;Essen;0537;1;21;Pak 1/1;;;21;;;991230;;;0537-Pak 1/1-991230;
2010;03631000;900;Blumenhaus;Ads Blumen Jürgen aus dem Siepen,;Nachf. Heike Ackermann;Bismarckstr. 66;47057;Duisburg;0538;1;21;Pak 1/1;;;21;;;991230;;;0538-Pak 1/1-991230;
4710;11722700;900;Blumenhaus;Aalsmeer-Blumen Herbert Münks &Co.;;Anrather Str. 43;47807;Krefeld;0539;1;21;Pak 1/1;;;21;;;991230;;;0539-Pak 1/1-991230;
1451;02510100;900;Blumenhaus;Blumenhaus C. Niemann;Inh. Harald Niemann;Lotterstr. 102;49078;Osnabrück;0540;1;21;Pak 1/1;;;21;;;991230;;;0540-Pak 1/1-991230;
2803;05241800;900;Blumenhaus;Brauers,;Berit;Neuenkirchener Str. 1;49324;Melle;0541;1;21;Pak 1/1;;;21;;;991230;;;0541-Pak 1/1-991230;
4242;09176300;900;Blumenhaus;Lüdtke;Christine;Rathenaustr. 147-149;51373;Leverkusen;0542;1;21;Pak 1/1;;;21;;;991230;;;0542-Pak 1/1-991230;
1016;01791700;900;Blumenhaus;Weninger,;Petra;Burscheider Str. 61;51381;Leverkusen;0543;1;21;Pak 1/1;;;21;;;991230;;;0543-Pak 1/1-991230;
4563;11257600;900;Blumenhaus;Ludemann,;Georg, Der Blumenladen;Siebenmorgen 24;51427;Bergisch Gladbach;0544;1;21;Pak 1/1;;;21;;;991230;;;0544-Pak 1/1-991230;
2899;05504500;900;Blumenhaus;Blumen Kunibert Mohren,;Inh. Frank Mohren;Monschauer Str. 156;52355;Düren;0545;1;21;Pak 1/1;;;21;;;110831;31.08.2011;;0545-Pak 1/1-110831;
2368;04349700;900;Blumenhaus;Kurth,;Peter;Luisenstr. 3;53879;Euskirchen;0546;1;21;Pak 1/1;;;21;;;110822;22.08.2011;;0546-Pak 1/1-110822;
52;00088600;900;Blumenhaus;Veith,;Markus und Susanne Hohensee;Lindenplatz 6;55129;Mainz;0547;1;21;Pak 1/1;;;21;;;991230;;;0547-Pak 1/1-991230;
1393;02425800;900;Blumenhaus;Blumen Wilhelm Brauneis,;Inh. Helga Brauneis-Weber e.Kfr.;Kolpingstr. 54;57462;Olpe;0548;1;21;Pak 1/1;;;21;;;110815;15.08.2011;;0548-Pak 1/1-110815;
926;01641100;900;Blumenhaus;Glück,;Simone, Das Blumenlädchen;Seligenstädter Str. 20;63456;Hanau;0549;1;21;Pak 1/1;;;21;;;991230;;;0549-Pak 1/1-991230;
3017;05829200;900;Blumenhaus;Scheuch jun.,;Waldemar;Sandstr. 42;64342;Seeheim-Jugenheim;0550;1;21;Pak 1/1;;;21;;;110813;13.08.2011;;0550-Pak 1/1-110813;
5143;21028000;900;Blumenhaus;Girnuweit,;Heinrich, Blumen Girnuweit;Bahnhofstr. 9;65185;Wiesbaden;0551;1;21;Pak 1/1;;;21;;;991230;;;0551-Pak 1/1-991230;
2870;05404400;900;Blumenhaus;Blumen Wilhelm Göbel,;Inh. Ursula Peuser;Gebrüder-Grimm-Str. 2-4;65520;Bad Camberg;0552;1;21;Pak 1/1;;;21;;;991230;;;0552-Pak 1/1-991230;
2636;04896700;900;Blumenhaus;Zech,;Sabrina, a Casa flora;Bliesstr. 2-4;67059;Ludwigshafen;0553;1;21;Pak 1/1;;;21;;;991230;;;0553-Pak 1/1-991230;
5103;20306000;900;Blumenhaus;Bohnenberger GbR,;Blumenhaus am Ebertpark;Kopernikusstr. 61;67063;Ludwigshafen;0554;1;21;Pak 1/1;;;21;;;991230;;;0554-Pak 1/1-991230;
1218;02131000;900;Blumenhaus;Attraktiv + Aktuell Blumen Schroth e.K.;;Oderstr. 6;67071;Ludwigshafen;0555;1;21;Pak 1/1;;;21;;;991230;;;0555-Pak 1/1-991230;
1664;02932600;900;Blumenhaus;Starck,;Karlheinz;Jakobstr. 44;67269;Grünstadt;0556;1;21;Pak 1/1;;;21;;;991230;;;0556-Pak 1/1-991230;
1324;02314200;900;Blumenhaus;Unger;Diana, Blumen Diana;Am Marktplatz 18;67307;Göllheim;0557;1;21;Pak 1/1;;;21;;;991230;;;0557-Pak 1/1-991230;
4940;12497700;900;Blumenhaus;Keilmann;Silvia, Blumenscheuer;Gäustr. 28;67435;Neustadt;0558;1;21;Pak 1/1;;;21;;;991230;;;0558-Pak 1/1-991230;
2708;05020800;900;Blumenhaus;Hensel,;Karin, vorm. Reinhard;Dallgarten 8;69121;Heidelberg;0559;1;21;Pak 1/1;;;21;;;991230;;;0559-Pak 1/1-991230;
2629;04871600;900;Blumenhaus;Rosenbach,;Matthias, Blumenhaus M. Rosenbach;Marktstr. 51;69123;Heidelberg;0560;1;21;Pak 1/1;;;21;;;991230;;;0560-Pak 1/1-991230;
2452;04515800;900;Blumenhaus;Dohms,;Brigitte, Blumen Jäger;Schwetzinger Str. 36;69124;Heidelberg;0561;1;21;Pak 1/1;;;21;;;991230;;;0561-Pak 1/1-991230;
1701;03005500;900;Blumenhaus;Blumen am Bubenbad;Inh. Holger Schweizer;Breitlingstr. 35;70184;Stuttgart;0562;1;21;Pak 1/1;;;21;;;991230;;;0562-Pak 1/1-991230;
3039;05887600;900;Blumenhaus;Mayer,;Hans Michael;Osterbronnstr. 60;70565;Stuttgart;0563;1;21;Pak 1/1;;;21;;;110827;27.08.2011;;0563-Pak 1/1-110827;
3510;07231700;900;Blumenhaus;Grob,;Claus-Reinhold;Kirchstr. 9;70839;Gerlingen;0564;1;21;Pak 1/1;;;21;;;991230;;;0564-Pak 1/1-991230;
2383;04372800;900;Blumenhaus;Linsenmaier,;Christel, Blumen Winkler;Fronackerstr. 24;71332;Waiblingen;0565;1;21;Pak 1/1;;;21;;;991230;;;0565-Pak 1/1-991230;
3167;06244200;900;Blumenhaus;Albanesi und Mächtlen,;Blumen Mächtlen GbR;Hungerbühlstr. 28;73614;Schorndorf;0566;1;21;Pak 1/1;;;21;;;991230;;;0566-Pak 1/1-991230;
1996;03594800;900;Blumenhaus;Märkle,;Erik und Markus;Uhlandstr. 2/1;75365;Calw;0567;1;21;Pak 1/1;;;21;;;991230;;;0567-Pak 1/1-991230;
1670;02941800;900;Blumenhaus;Blumen-Berret GmbH;;Bahnhofstr. 80;75417;Mühlacker;0568;1;21;Pak 1/1;;;21;;;991230;;;0568-Pak 1/1-991230;
5204;22206200;900;Blumenhaus;Steinbach,;Christine, Floristik u. Friedhofsgärtnerei;Haid-und-Neu-Str. 36 b;76131;Karlsruhe;0569;1;21;Pak 1/1;;;21;;;991230;;;0569-Pak 1/1-991230;
3397;06895800;900;Blumenhaus;Kiefer,;Annette, Floristik-Studio Blumenwerkstatt;Mathystr. 11;76133;Karlsruhe;0570;1;21;Pak 1/1;;;21;;;991230;;;0570-Pak 1/1-991230;
1032;01816200;900;Blumenhaus;Blumen Strehle;;Holtzstr. 5;76135;Karlsruhe;0571;1;21;Pak 1/1;;;21;;;991230;;;0571-Pak 1/1-991230;
759;01363400;900;Blumenhaus;Kara,;Arif, Blumenparadies;Bertholdplatz 1;76530;Baden-Baden;0572;1;21;Pak 1/1;;;21;;;991230;;;0572-Pak 1/1-991230;
3369;06843200;900;Blumenhaus;Blumen-Prelisauer,;Inh. Stefan Prelisauer, Floristmeister;Rheinstr. 32;77815;Bühl;0573;1;21;Pak 1/1;;;21;;;991230;;;0573-Pak 1/1-991230;
3499;07215600;900;Blumenhaus;Baur,;Veronika;Stadtwall 9a;78333;Stockach;0574;1;21;Pak 1/1;;;21;;;991230;;;0574-Pak 1/1-991230;
3254;06525301;900;Blumenhaus;Blumen Peter Inh. Jürgen Datz e.K.;;Wessenbergstr. 30;78462;Konstanz;0575;1;21;Pak 1/1;;;21;;;991230;;;0575-Pak 1/1-991230;
5102;20258700;900;Blumenhaus;Frey,;Michaela, Blumen Linder;Königstr. 60;78628;Rottweil;0576;1;21;Pak 1/1;;;21;;;991230;;;0576-Pak 1/1-991230;
2043;03701400;900;Blumenhaus;Abc-Blumenhaus Friedrich Storz;Inh. Andreas Storz;Hauptstr. 32;78713;Schramberg;0577;1;21;Pak 1/1;;;21;;;991230;;;0577-Pak 1/1-991230;
3237;06470000;900;Blumenhaus;Kaiser,;Matthias, Blumen Kaiser;Friedrichstr. 19;79618;Rheinfelden;0578;1;21;Pak 1/1;;;21;;;991230;;;0578-Pak 1/1-991230;
2128;03889600;900;Blumenhaus;Blumen Lange OHG;;Schaffhauser Str. 92;79713;Bad Säckingen;0579;1;21;Pak 1/1;;;21;;;991230;;;0579-Pak 1/1-991230;
139;00246300;900;Blumenhaus;Strobel GbR,;Friedhofsgärtnerei & Floristik;Dantestr. 33;80637;München;0580;1;21;Pak 1/1;;;21;;;991230;;;0580-Pak 1/1-991230;
429;00786500;900;Blumenhaus;Bierbaum,;Wolfgang;Schelling Str. 40;80799;München;0581;1;21;Pak 1/1;;;21;;;991230;;;0581-Pak 1/1-991230;
1001;01764200;900;Blumenhaus;Winter,;Gerd, blumen elsdörfer;Ungererstr. 157;80805;München;0582;1;21;Pak 1/1;;;21;;;991230;;;0582-Pak 1/1-991230;
2554;04711800;900;Blumenhaus;Blumen Rofeld e.K.;;Mauerkircher Str. 36;81679;München;0583;1;21;Pak 1/1;;;21;;;110816;16.08.2011;;0583-Pak 1/1-110816;
1145;02004300;900;Blumenhaus;Ertl-Kameter,;Marie-Luise und Johann Kameter GbR, Blumenhaus Ertl;Hauptstr. 17;82008;Unterhaching;0584;1;21;Pak 1/1;;;21;;;991230;;;0584-Pak 1/1-991230;
2167;03953400;900;Blumenhaus;Auer;Bernhard;Starnberger Str. 19;82131;Gauting;0585;1;21;Pak 1/1;;;21;;;991230;;;0585-Pak 1/1-991230;
4718;11762100;900;Blumenhaus;Altendorfer,;Christian, Blumen Ziegler;Frühlingstr. 45;83435;Bad Reichenhall;0586;1;21;Pak 1/1;;;21;;;991230;;;0586-Pak 1/1-991230;
3664;07651000;900;Blumenhaus;Auernhammer,;Klaus;Freisinger Str. 7;85229;Markt Indersdorf;0587;1;21;Pak 1/1;;;21;;;991230;;;0587-Pak 1/1-991230;
93;00166500;900;Blumenhaus;Albertshofer,;Stefanie;Münchener Str. 43;85435;Erding;0588;1;21;Pak 1/1;;;21;;;991230;;;0588-Pak 1/1-991230;
2136;03904100;900;Blumenhaus;Kiechle,;Florian, Blumenfachgeschäft Silvia;Schattenbergstr. 2;86825;Bad Wörishofen;0589;1;21;Pak 1/1;;;21;;;991230;;;0589-Pak 1/1-991230;
1616;02820000;900;Blumenhaus;blumen müller GmbH,;Floristmeisterbetrieb;Raiffeisenstr. 4;86830;Schwabmünchen;0590;1;21;Pak 1/1;;;21;;;991230;;;0590-Pak 1/1-991230;
1315;02293100;900;Blumenhaus;Hermann,;Daniela, Blumen Prim;Schrannenplatz 2;87700;Memmingen;0591;1;21;Pak 1/1;;;21;;;991230;;;0591-Pak 1/1-991230;
1760;03137700;900;Blumenhaus;Blumen Weimar e. K.;;Zypressenweg 2;89231;Neu-Ulm;0592;1;21;Pak 1/1;;;21;;;991230;;;0592-Pak 1/1-991230;
1652;02885100;900;Blumenhaus;Hofstätter,;Konrad, Blumen Betz;Hauptstr. 50;91301;Forchheim;0593;1;21;Pak 1/1;;;21;;;991230;;;0593-Pak 1/1-991230;
1229;02148000;900;Blumenhaus;Tschurtschenthaler,;Hannelore, Blumen Pesth;Rainstallweg 1;93073;Neutraubling;0594;1;21;Pak 1/1;;;21;;;991230;;;0594-Pak 1/1-991230;
2749;05113000;900;Blumenhaus;Uwira,;Doris, vorm. Kestel;Friesener Str. 33;96317;Kronach;0595;1;21;Pak 1/1;;;21;;;110831;31.08.2011;;0595-Pak 1/1-110831;
1674;02947400;900;Blumenhaus;Blumen-Lehfer;Inh. Anita Lehfer e.Kfr.;Friedhofstr. 25;97421;Schweinfurt;0596;1;21;Pak 1/1;;;21;;;991230;;;0596-Pak 1/1-991230;
4351;09385900;900;Blumenhaus;Frahm,;Kerstin und Holger Frahm GbR, 1 A Floristik;Schopenhauerstr. 2;99423;Weimar;0597;1;21;Pak 1/1;;;21;;;991230;;;0597-Pak 1/1-991230;
2994;05744000;900;Blumenhaus;Piepenbrink,;Jan;Steinweg 22;21635;Jork;0176;1;21;Pak 1/1;;;21;;;991230;;;0176-Pak 1/1-991230;
459;00835401;800;Blumenhaus;Creativ Floristik Laubner GmbH;;Loschwitzer Str. 52;01309;Dresden;0598;1;19,5;Pak 1/1;;;19,5;;;991230;;;0598-Pak 1/1-991230;
458;00835400;800;Blumenhaus;Creativ Floristik Laubner GmbH;;An der Prießnitzaue 1-3;01328;Dresden;0599;1;19,5;Pak 1/1;;;19,5;;;991230;;;0599-Pak 1/1-991230;
1735;03086800;800;Blumenhaus;Richter,;Doreen, Gärtnerei Fiebig;Dresdener Str. 117;03238;Finsterwalde;0600;1;19,5;Pak 1/1;;;19,5;;;991230;;;0600-Pak 1/1-991230;
4053;08780000;800;Blumenhaus;Spitczack,;Dirk, Grünland-Blumen;Neustädter Passage 8;06122;Halle;0601;1;19,5;Pak 1/1;;;19,5;;;991230;;;0601-Pak 1/1-991230;
2008;03629600;800;Blumenhaus;Reinhard,;Thilo, Blumen Reinhard;Kollenbeyer Weg 2;06217;Merseburg;0602;1;19,5;Pak 1/1;;;19,5;;;991230;;;0602-Pak 1/1-991230;
3768;08035800;800;Blumenhaus;Wagner,;Ina, Blumen-Wagner;Hinter dem Turm 33;06449;Aschersleben;0603;1;19,5;Pak 1/1;;;19,5;;;991230;;;0603-Pak 1/1-991230;
4089;08855900;800;Blumenhaus;Garten- u. Blumencenter Krüger OHG;;Hallesche Str. 1;06749;Bitterfeld;0604;1;19,5;Pak 1/1;;;19,5;;;991230;;;0604-Pak 1/1-991230;
3769;08036900;800;Blumenhaus;Schumann,;Lars;Bahnhofstr. 37;08280;Aue;0605;1;19,5;Pak 1/1;;;19,5;;;991230;;;0605-Pak 1/1-991230;
2421;04456900;800;Blumenhaus;Faust,;Constanze, Blumeneck;Chemnitzer Str. 21;09669;Frankenberg;0606;1;19,5;Pak 1/1;;;19,5;;;991230;;;0606-Pak 1/1-991230;
4159;09008400;800;Blumenhaus;Frau Rose Floristik,;Inh. Grit Rose;Stargarder Str. 15;10437;Berlin;0607;1;19,5;Pak 1/1;;;19,5;;;991230;;;0607-Pak 1/1-991230;
1359;02373700;800;Blumenhaus;Kabisch,;Wolfgang;Paplitzer Str. 6;12307;Berlin;0608;1;19,5;Pak 1/1;;;19,5;;;991230;;;0608-Pak 1/1-991230;
154;00273900;800;Blumenhaus;Jacob,;Kirsten, Blumenladen;Britzer Damm 112;12347;Berlin;0609;1;19,5;Pak 1/1;;;19,5;;;991230;;;0609-Pak 1/1-991230;
2448;04509900;800;Blumenhaus;Palm,;Sabine, Floristikzauber;Janusz-Korczak-Str. 23;12627;Berlin;0610;1;19,5;Pak 1/1;;;19,5;;;991230;;;0610-Pak 1/1-991230;
2887;05455900;800;Blumenhaus;Messow,;Beatrice, Blumen Messow;Eichelmatenweg 2;14089;Berlin;0611;1;19,5;Pak 1/1;;;19,5;;;991230;;;0611-Pak 1/1-991230;
1648;02878100;800;Blumenhaus;Schön,;Martin, Florales im Grunewald;Hubertusallee 10 a;14193;Berlin;0612;1;19,5;Pak 1/1;;;19,5;;;991230;;;0612-Pak 1/1-991230;
3423;06983500;800;Blumenhaus;Molly,;Robert;Wiesbadener Str. 61;14197;Berlin;0613;1;19,5;Pak 1/1;;;19,5;;;991230;;;0613-Pak 1/1-991230;
1835;03288400;800;Blumenhaus;Butry,;Wolfgang, Blumengalerie;Zehmeplatz 14;15230;Frankfurt;0614;1;19,5;Pak 1/1;;;19,5;;;991230;;;0614-Pak 1/1-991230;
5181;21845800;800;Blumenhaus;Köppen-Korff,;Ricco, Gartenbau Seltmann;Karl-Marx-Str. 6;15345;Eggersdorf;0615;1;19,5;Pak 1/1;;;19,5;;;991230;;;0615-Pak 1/1-991230;
1202;02099300;800;Blumenhaus;Anders GbR,;Kerstin und Peter, Blumen Anders;August-Bebel-Str. 28-29;15569;Woltersdorf;0616;1;19,5;Pak 1/1;;;19,5;;;991230;;;0616-Pak 1/1-991230;
3800;08125800;800;Blumenhaus;Gansekow,;Kerstin;Bahnhofstr. 88 A;15827;Dahlewitz;0617;1;19,5;Pak 1/1;;;19,5;;;991230;;;0617-Pak 1/1-991230;
4004;08638200;800;Blumenhaus;Liebscher,;Jörg-Peter, bluming inn;Hauptstr. 21;15907;Lübben;0618;1;19,5;Pak 1/1;;;19,5;;;991230;;;0618-Pak 1/1-991230;
214;00408200;800;Blumenhaus;Siefke-Schwenkhoff,;Andrea und Ulrich Dalchow GbR;Breite Str. 10;16515;Oranienburg;0619;1;19,5;Pak 1/1;;;19,5;;;991230;;;0619-Pak 1/1-991230;
1480;02566100;800;Blumenhaus;Kraatz,;Dietlind, Landfloristik;Hohenofener Str. 49;16845;Neustadt;0620;1;19,5;Pak 1/1;;;19,5;;;991230;;;0620-Pak 1/1-991230;
4385;09434600;800;Blumenhaus;Netzel,;Sabine, Blumenhaus Wöllert;Rosenthalstr. 14;17192;Waren;0621;1;19,5;Pak 1/1;;;19,5;;;991230;;;0621-Pak 1/1-991230;
5306;24271400;800;Blumenhaus;Blumen Schwisow GmbH & Co KG,;;Strelitzer Str. (EKZ) 24;17235;Neustrelitz;0622;1;19,5;Pak 1/1;;;19,5;;;991230;;;0622-Pak 1/1-991230;
3766;08024500;800;Blumenhaus;Stiem-Jager,;Regine, Blumen Hoffmann;Bahnhofstr. 5;17438;Wolgast;0623;1;19,5;Pak 1/1;;;19,5;;;991230;;;0623-Pak 1/1-991230;
1267;02209200;800;Blumenhaus;Bruse,;Reinhard, Blumenladen;Ernst-Thälmann-Ring 4 c;17491;Greifswald;0624;1;19,5;Pak 1/1;;;19,5;;;991230;;;0624-Pak 1/1-991230;
4920;12429400;800;Blumenhaus;Grupe,;Michael, Blumenhaus Grupe;Bremervörder Str. 23;21682;Stade;0625;1;19,5;Pak 1/1;;;19,5;;;991230;;;0625-Pak 1/1-991230;
635;01155900;800;Blumenhaus;Blumencenter Peters,;Inh. Jan Peters e.K.;Mattkamp 4;22117;Hamburg;0626;1;19,5;Pak 1/1;;;19,5;;;991230;;;0626-Pak 1/1-991230;
3033;05868200;800;Blumenhaus;Giese,;Petra, Blumenhaus Zoellner;Poggfreedweg 58;22149;Hamburg;0627;1;19,5;Pak 1/1;;;19,5;;;991230;;;0627-Pak 1/1-991230;
2270;04155200;800;Blumenhaus;Hille,;Simone, Rosalie Meisterfloristik;Fabriciusstr. 122;22177;Hamburg;0628;1;19,5;Pak 1/1;;;19,5;;;991230;;;0628-Pak 1/1-991230;
